Estado_x,Trimestre,"Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Coeficiente de variação - Nível de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade","Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Coeficiente de variação - Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Coeficiente de variação - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Coeficiente de variação - Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,"Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Distribuição percentual das pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Distribuição percentual das pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Nível da desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade","Pessoas de 14 anos ou mais de idade ocupadas, em situação de informalidade, na semana de referência","Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência","Pessoas de 14 anos ou mais de idade, fora da força de trabalho, na semana de referência","Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade",Taxa de informalidade das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,NDVI,Cluster
Distrito Federal,202401,13.375,21.4,7.425,21.25,13.8,22.825000000000003,7.8,19.8,10.05,8.274999999999999,7.025,12.625,6.45,41.5,12.0,102.5,14.375,49.4,0.6460184346650448,3
Distrito Federal,202402,13.05,24.375,7.225,25.725,13.75,26.75,7.575,24.125,9.45,8.025,8.05,12.575,6.6,38.5,14.25,103.5,14.075,47.4,0.6074754784689285,3
Distrito Federal,202403,13.525,22.95,7.949999999999999,23.525,14.1,24.375,8.375,22.85,10.275,8.875,8.25,12.4,6.225,42.75,12.5,106.5,13.75,50.6,0.3981755540678987,0
Distrito Federal,202404,12.875,24.175,7.45,23.95,13.725,25.625,7.775,23.05,9.125,8.325,8.475,12.85,6.725,38.75,13.25,110.75,15.7,52.675,0.5499339481935385,3
Espirito Santo,202401,37.325,44.43333333333334,15.1,44.8,38.95,47.2,15.5,43.4,41.7,5.625,9.2,11.025,4.7,2.5,1.3333333333333333,14.0,12.3,35.8,0.7169480224833762,1
Espirito Santo,202402,32.4,66.15,14.5,64.5,33.05,69.875,14.775,63.425,26.25,6.5,5.25,10.7,3.2750000000000004,3.0,0.5,13.0,11.8,46.925,0.7131595873400721,1
Espirito Santo,202403,31.575,53.45,16.325,56.45,32.675,58.9,16.1,52.55,21.85,6.300000000000001,12.2,10.05,4.1,3.75,1.0,13.5,9.2,51.625,0.5676771297333358,1
Espirito Santo,202404,38.0,72.65,17.1,76.30000000000001,39.725,76.30000000000001,17.425,76.0,29.6,5.449999999999999,8.1,10.7,2.25,3.25,0.5,14.25,6.55,44.85,0.6415935595842926,1
Goias,202401,17.7,29.666666666666668,10.975,30.46666666666667,19.0,32.2,11.35,29.7,15.275,9.35,11.766666666666666,13.1,4.5,22.75,5.333333333333333,56.75,7.966666666666666,44.525,0.7254482653836746,1
Goias,202402,22.125,46.925,10.1,49.875,22.05,49.900000000000006,10.325,52.725,14.4,8.575,7.95,13.25,3.275,22.0,3.75,55.5,6.5,44.95,0.6473596597979754,1
Goias,202403,20.825,31.433333333333334,10.575,31.73333333333333,21.4,32.733333333333334,10.875,30.866666666666664,13.675,8.625,12.266666666666666,12.95,3.8333333333333335,23.25,4.333333333333333,56.25,6.633333333333333,46.375,0.4132475371347735,0
Goias,202404,20.225,34.06666666666667,11.4,33.53333333333333,21.225,34.9,12.05,32.9,15.025,8.225,12.866666666666667,12.325,3.466666666666667,21.25,5.0,51.5,6.733333333333334,46.45,0.6301976970400112,1
Maranhao,202401,20.325,45.075,10.05,43.1,20.700000000000003,45.75,10.5,44.05,9.575,7.375,4.3,12.85,3.375,16.25,2.5,47.0,10.6,69.175,0.6583631869281824,2
Maranhao,202402,19.625,42.3,11.075,43.825,20.25,45.575,11.475,43.375,9.95,8.1,6.025,12.575,3.925,17.75,2.75,46.5,11.15,69.875,0.7185935267184915,2
Maranhao,202403,20.6,48.275,10.925,48.625,20.75,49.125,11.225,47.6,12.525,8.15,5.65,12.025,3.95,17.5,3.25,43.5,10.65,63.875,0.6015524049012735,2
Maranhao,202404,21.1,47.0,11.55,49.2,21.85,49.15,11.65,50.175,14.225,7.725,4.175,10.8,3.4000000000000004,15.75,2.0,41.5,10.1,68.025,0.570403562387301,2
Mato Grosso,202401,27.775,39.63333333333333,12.975,40.06666666666666,29.025,41.766666666666666,13.775,38.266666666666666,19.65,8.675,11.833333333333334,14.025,4.433333333333334,10.5,2.333333333333333,23.0,7.866666666666667,49.75,0.738304869022026,1
Mato Grosso,202402,20.225,40.1,12.8,39.1,21.525,40.23333333333333,13.175,37.3,14.75,9.125,12.9,14.45,4.433333333333333,11.0,2.333333333333333,24.0,7.866666666666667,49.1,0.7295499016599469,1
Mato Grosso,202403,28.65,42.0,13.275,42.63333333333333,29.9,44.1,13.45,41.76666666666667,22.85,9.45,15.666666666666666,13.4,3.1333333333333333,12.0,1.6666666666666667,23.0,5.733333333333333,47.625,0.5708369975973555,1
Mato Grosso,202404,20.8,55.1,13.45,55.76666666666667,22.25,56.5,13.6,55.333333333333336,14.0,10.375,16.166666666666668,12.725,3.966666666666667,13.0,1.6666666666666667,20.0,7.1000000000000005,60.525,0.6796654310345911,2
Mato Grosso Do Sul,202401,18.85,30.73333333333333,10.45,33.300000000000004,18.975,34.46666666666667,11.1,31.8,12.4,8.775,12.1,14.15,3.1333333333333333,12.75,2.6666666666666665,36.5,6.4,45.4,0.6985310660997014,1
Mato Grosso Do Sul,202402,19.375,38.2,11.25,38.3,19.5,39.96666666666666,12.225,37.53333333333333,16.05,10.425,10.966666666666669,13.525,3.0666666666666664,14.25,2.0,35.75,5.533333333333334,44.475,0.6531006230135388,1
Mato Grosso Do Sul,202403,20.8,46.36666666666667,10.375,55.0,21.75,55.7,11.0,54.53333333333333,14.275,10.45,10.533333333333331,14.225,1.7999999999999998,15.75,1.3333333333333333,36.5,3.333333333333333,49.45,0.4678243402859587,0
Mato Grosso Do Sul,202404,17.225,45.675,11.575,47.125,18.25,49.225,12.275,45.575,13.15,9.525,11.4,14.15,3.3999999999999995,13.75,2.0,36.25,6.45,44.7,0.6559896913919939,1
Minas Gerais,202401,20.55,39.225,11.2,38.925,20.9,41.425,11.55,37.225,15.75,8.125,8.95,13.075,5.0,31.25,9.25,89.75,10.175,42.375,0.7190517719471097,1
Minas Gerais,202402,22.625,26.5,10.375,27.23333333333333,23.775,28.566666666666663,10.325,27.066666666666663,16.099999999999998,8.7,10.066666666666666,13.2,4.233333333333333,34.5,9.0,89.25,8.366666666666667,45.05,0.6633718645009643,1
Minas Gerais,202403,21.9,24.53333333333333,9.825,26.46666666666667,22.5,28.7,10.2,25.7,18.275,8.450000000000001,10.2,13.8,4.366666666666666,30.25,9.333333333333334,91.0,8.666666666666666,43.925,0.4797336202801971,0
Minas Gerais,202404,19.825,33.05,10.3,34.85,20.475,37.85,10.225,33.625,14.525,9.15,9.675,13.075,4.074999999999999,36.0,6.5,89.5,8.875,48.025,0.6167802942112,1
Para,202401,17.05,21.4,10.7,22.7,18.325,23.266666666666666,11.15,22.53333333333333,8.45,9.725,9.7,13.125,7.433333333333334,30.25,9.0,59.75,15.033333333333331,73.825,0.6657994431785472,2
Para,202402,16.475,27.83333333333333,10.05,26.3,17.675,28.96666666666667,10.425,25.866666666666664,8.825,9.325,9.9,13.6,6.0,30.25,8.0,63.25,12.866666666666667,71.45,0.7331978866975649,2
Para,202403,18.375,37.36666666666667,10.85,34.6,19.55,37.7,11.4,33.86666666666667,12.125,9.225,7.466666666666668,13.675,4.0,30.75,5.666666666666667,66.5,8.566666666666666,68.3,0.7570516786214386,2
Para,202404,17.525,26.03333333333333,10.5,27.53333333333333,18.55,28.33333333333333,11.0,25.8,11.1,9.15,8.5,13.225,4.833333333333333,30.0,6.333333333333333,64.25,10.866666666666667,69.125,0.692411984322103,2
Paraiba,202401,20.95,32.025,12.0,32.3,22.675,34.55,12.675,32.025,14.025,8.65,8.0,12.625,6.675,11.5,3.5,33.0,16.275,56.025,0.6208971268492907,3
Paraiba,202402,21.625,34.7,13.7,35.300000000000004,21.975,36.95,14.325,34.275,15.675,7.924999999999999,6.725,13.025,4.925,10.0,3.0,35.25,12.575,47.15,0.6989959935846315,1
Paraiba,202403,19.275,41.1,12.6,40.725,20.0,43.675,13.55,37.75,13.65,8.5,7.899999999999999,13.2,4.7,10.75,3.0,36.75,11.775,51.925,0.4583742032144481,0
Paraiba,202404,19.25,39.075,11.45,37.7,21.175,40.925,11.975,36.2,9.675,9.175,6.5,13.1,4.475,12.75,2.75,34.75,12.1,61.35,0.3616671929248356,0
Parana,202401,25.3,36.9,10.375,39.3,26.85,38.55,10.95,43.0,22.575,8.125,6.9,11.625,4.325,24.25,4.75,63.5,9.8,44.9,0.7341529875710952,1
Parana,202402,20.875,38.775,9.425,40.05,21.425,40.525000000000006,9.925,40.45,14.35,7.774999999999999,7.5,11.925,3.875,24.0,4.25,65.25,9.575,47.55,0.6908230834235887,1
Parana,202403,30.200000000000003,39.525,9.95,41.2,31.1,41.525,10.225,41.225,24.125,6.55,7.0,12.525,4.175,20.0,4.5,67.25,12.625,40.5,0.5988238786386739,1
Parana,202404,21.75,37.16666666666666,10.325,38.5,22.775,41.06666666666667,10.8,35.766666666666666,14.825,6.875,8.533333333333333,12.15,3.4,21.25,4.333333333333333,65.0,7.3,45.425,0.7166154414457708,1
Pernambuco,202401,18.975,27.4,10.275,29.975,19.5,30.4,10.6,28.475,14.15,9.925,9.75,13.875,7.475,31.5,9.5,71.75,17.7,61.575,0.6024449388482406,3
Pernambuco,202402,16.4,40.75,10.875,43.425,17.45,42.9,11.275,42.175,10.25,10.375,8.975,13.825,6.949999999999999,33.5,9.0,69.5,14.1,66.075,0.6448494037047644,2
Pernambuco,202403,18.125,29.03333333333333,10.9,28.966666666666665,19.6,29.96666666666667,10.625,28.2,9.825,9.9,9.466666666666669,13.75,5.9,31.25,8.666666666666666,71.5,12.266666666666666,65.875,0.4748763771808752,0
Pernambuco,202404,20.7,24.633333333333336,12.225,24.566666666666663,21.8,26.96666666666667,12.625,22.53333333333333,11.9,9.525,11.466666666666669,13.525,7.733333333333333,29.5,11.666666666666666,64.25,15.266666666666666,64.6,0.412181636534335,0
Piaui,202401,18.65,30.166666666666668,11.175,31.133333333333336,19.55,32.5,11.85,31.23333333333333,11.425,9.05,9.666666666666666,13.375,4.3,14.5,3.333333333333333,36.5,9.2,58.225,0.7250745598473836,2
Piaui,202402,21.65,31.46666666666667,11.375,31.73333333333333,23.2,33.23333333333333,11.725,31.03333333333333,14.275,8.875,10.4,13.675,3.9,14.0,3.333333333333333,36.75,8.666666666666666,56.875,0.6926279703627208,1
Piaui,202403,17.875,33.1,10.675,34.333333333333336,19.325,35.833333333333336,11.2,33.36666666666667,10.3,9.675,9.366666666666667,13.975,3.8666666666666663,15.5,2.6666666666666665,38.25,8.3,64.85,0.4726414932128551,0
Piaui,202404,19.2,56.425,10.825,59.400000000000006,20.225,58.775,11.1,60.425,10.1,9.65,6.275,14.2,1.85,15.25,1.25,39.25,4.475,58.95,0.5618982403449674,0
Rio De Janeiro,202401,15.925,26.175,6.225,26.1,16.5,27.4,6.475,24.3,10.575,6.3,5.625,10.825,4.525,73.25,18.25,232.0,11.175,49.05,0.7406419876627073,1
Rio De Janeiro,202402,13.775,24.55,6.3,24.325000000000003,14.25,25.25,6.4,23.725,8.625,6.675,5.325,10.9,4.525,78.25,17.0,227.5,10.825,52.55,0.7026383482606839,1
Rio De Janeiro,202403,14.425,25.225,6.074999999999999,25.15,14.95,26.15,6.375,25.25,9.75,6.55,5.275,11.15,4.025,75.0,15.0,237.75,9.75,49.75,0.5783038416985645,1
Rio De Janeiro,202404,12.525,29.875,6.6,29.7,13.125,31.15,6.85,28.65,7.925,6.9750000000000005,5.325,11.125,3.675,81.75,13.5,239.0,8.825,54.2,0.6734195754967176,1
Rio Grande Do Norte,202401,24.325,36.76666666666667,10.125,37.16666666666666,24.4,39.36666666666667,11.1,37.1,17.85,9.8,11.800000000000002,13.3,4.2,12.75,3.6666666666666665,43.5,10.633333333333333,55.4,0.6125870880857479,1
Rio Grande Do Norte,202402,22.375,56.275,15.8,59.95,25.1,60.7,16.8,58.3,15.075,10.125,7.125,13.675,2.825,11.75,2.25,42.25,8.175,59.675,0.7058129559495032,2
Rio Grande Do Norte,202403,23.925,65.6,14.2,56.725,25.225,54.5,14.7,54.9,15.55,9.35,5.725,14.75,3.175,11.75,2.25,44.5,8.7,56.7,0.4730790817628958,0
Rio Grande Do Norte,202404,24.175,43.36666666666667,14.725,39.06666666666666,26.8,43.7,15.3,41.766666666666666,17.275,8.65,12.533333333333331,14.25,5.4,10.0,3.6666666666666665,46.0,14.1,54.725,0.3567308415398992,0
Rio Grande Do Sul,202401,19.25,28.633333333333336,10.975,27.933333333333334,19.325,29.666666666666668,11.075,26.83333333333333,11.65,8.65,12.266666666666666,12.35,5.966666666666666,20.75,6.666666666666667,52.25,11.566666666666668,52.975,0.7437079512871023,1
Rio Grande Do Sul,202402,27.3,42.425,12.4,42.925,28.125,46.175,12.8,42.225,20.175,7.949999999999999,10.025,11.525,6.3,19.0,6.25,49.5,15.6,47.375,0.6262927438967829,3
Rio Grande Do Sul,202403,26.15,44.65,11.775,42.675,26.825,47.525,11.875,45.875,16.475,7.425000000000001,9.575,11.65,5.0,18.25,4.25,51.25,12.35,52.475,0.6572876193416194,1
Rio Grande Do Sul,202404,24.825,30.73333333333333,12.825,30.366666666666664,25.425,32.13333333333333,13.075,28.0,12.233333333333334,6.7,10.4,11.4,5.433333333333334,16.0,5.333333333333333,49.75,10.833333333333334,57.025,0.6438450047753309,1
Rondonia,202401,19.6,49.975,8.7,47.875,20.575,50.725,9.75,45.075,13.575,10.225,9.6,13.875,2.875,10.75,1.0,28.75,7.25,59.175,0.7475530995324474,2
Rondonia,202402,19.125,52.0,9.875,54.86666666666667,20.35,55.333333333333336,10.6,54.63333333333333,11.525,11.375,7.933333333333334,13.925,2.0,12.5,1.0,28.25,4.8,66.525,0.7630409901466029,2
Rondonia,202403,20.15,49.9,8.850000000000001,57.26666666666667,21.275,58.76666666666667,10.025,55.2,12.575,11.375,11.266666666666666,14.0,1.7333333333333332,11.75,1.0,29.25,4.0,62.5,0.6632842263254086,2
Rondonia,202404,22.825,67.75,11.575,74.55000000000001,22.875,73.85,11.775,77.5,11.925,8.825000000000001,9.325,13.5,1.725,9.25,0.75,28.25,5.325,65.0,0.7052973677467451,2
Roraima,202401,17.45,35.63333333333333,10.05,34.333333333333336,17.6,34.73333333333333,10.525,32.56666666666667,12.9,7.824999999999999,11.166666666666666,13.225,5.4,5.75,1.6666666666666667,16.25,11.7,54.55,0.7160751415099835,1
Roraima,202402,15.85,32.7,10.6,31.766666666666666,16.75,35.6,10.975,29.5,9.325,9.225,11.433333333333332,13.925,5.266666666666667,8.0,1.6666666666666667,16.0,11.4,66.075,0.6602092978315891,2
Roraima,202403,14.125,36.875,10.45,35.65,15.225,37.925,10.9,33.775,8.125,9.0,8.05,13.875,4.3,8.25,1.25,15.75,9.575,69.85,0.7389103261911277,2
Roraima,202404,18.375,50.3,11.05,49.5,18.7,51.76666666666667,11.85,53.43333333333334,11.65,8.65,11.0,13.8,4.5,7.5,1.6666666666666667,16.0,10.2,64.95,0.7383710003383559,2
Santa Catarina,202401,34.075,53.9,17.1,53.55,36.25,56.625,17.525,54.2,27.075,6.775,6.5,10.25,5.225,6.25,1.0,14.5,12.175,48.325,0.7802535343535412,1
Santa Catarina,202402,23.5,61.5,21.65,62.925,26.53333333333333,63.0,21.675,52.95,18.066666666666663,8.933333333333334,6.075,9.5,4.4,7.666666666666667,0.75,15.0,13.55,45.8,0.7442156515323214,1
Santa Catarina,202403,41.725,43.13333333333333,19.85,42.266666666666666,42.675,43.5,20.05,44.43333333333334,41.375,5.625,10.633333333333333,9.825,4.166666666666667,5.0,1.6666666666666667,14.25,7.833333333333333,31.075,0.6901253071204684,1
Santa Catarina,202404,26.166666666666668,49.79999999999999,20.225,50.86666666666667,26.666666666666668,52.333333333333336,20.25,49.66666666666666,17.766666666666666,7.066666666666666,8.366666666666667,9.925,4.066666666666666,6.0,1.3333333333333333,15.0,9.1,41.63333333333333,0.7311606801501118,1
Sao Paulo,202401,12.45,33.875,7.15,34.65,13.1,34.725,7.425000000000001,34.65,7.825,8.424999999999999,7.725,14.05,4.625,184.75,42.25,476.5,9.55,52.75,0.7178353987805204,1
Sao Paulo,202402,11.475,32.475,7.35,32.6,11.9,33.95,7.5,31.6,7.125,8.75,7.575,14.2,4.325,197.5,38.0,466.0,8.7,52.875,0.6522533786338667,1
Sao Paulo,202403,12.3,30.55,7.25,31.125,12.825,31.275,7.4,30.825,9.2,8.775,6.775,14.075,3.275,193.0,28.5,472.5,6.800000000000001,49.6,0.4967022637837672,0
Sao Paulo,202404,11.125,26.7,7.199999999999999,27.475,11.8,28.625,7.425,27.125,7.975,8.525,6.775,14.325,3.575,186.5,30.75,475.5,7.4,52.125,0.6270580578986753,1
Sergipe,202401,21.775,43.425,12.35,45.55,22.825,48.525,12.875,43.575,16.65,9.95,10.075,13.475,7.324999999999999,11.75,4.0,29.25,16.525,60.275,0.5364438444699642,3
Sergipe,202402,20.875,30.166666666666668,13.825,29.1,22.825,32.93333333333333,14.475,27.166666666666668,15.875,10.525,12.133333333333336,12.7,7.0,11.75,4.0,27.25,14.0,56.575,0.6654864314779951,3
Sergipe,202403,20.775,37.73333333333333,14.4,37.3,21.65,39.73333333333333,14.75,35.266666666666666,13.525,10.375,10.633333333333333,13.3,5.5,12.5,3.333333333333333,28.75,11.4,63.125,0.6074303141637658,2
Sergipe,202404,34.2,37.0,13.75,41.13333333333333,34.35,44.6,13.9,37.96666666666667,25.925,9.675,10.633333333333333,13.325,6.7,11.0,4.0,28.75,14.5,54.75,0.4013343572994261,0
Tocantins,202401,31.1,64.2,17.75,62.6,31.575,65.10000000000001,17.424999999999997,59.36666666666667,23.325,7.25,8.166666666666666,13.225,3.5,4.0,0.6666666666666666,10.0,7.833333333333333,52.5,0.6915100864966802,1
Tocantins,202402,29.725,49.3,19.675,51.73333333333333,29.55,52.9,20.75,49.1,21.4,8.975,12.0,13.3,5.166666666666667,5.5,1.0,9.5,9.833333333333334,51.825,0.6625379693840309,1
Tocantins,202403,31.325,61.26666666666667,19.55,62.93333333333334,31.125,63.93333333333334,21.125,60.06666666666666,21.775,8.125,8.433333333333334,12.85,3.466666666666667,5.75,0.6666666666666666,9.0,6.166666666666667,52.900000000000006,0.4952407380277656,0
Tocantins,202404,28.275,74.2,17.925,72.85,29.525,79.5,17.625,73.35,20.325,8.0,8.45,13.55,1.9,5.25,0.5,9.5,3.5,54.55,0.6371959551123166,1
